LSPMJ0001+0659,00011579+0659355,tel04,59,56
LSPMJ0002+0115,00020623+0115360,tel03,59,53
LSPMJ0007+6022,00074264+6022543,tel01,1125,112
LSPMJ0007+6022,00074264+6022543,tel08,21,3
LSPMJ0008+2050,00085391+2050252,tel01,295,73
LSPMJ0008+4918,00085512+4918561,tel01,82,81
LSPMJ0011+5908,00113182+5908400,tel01,3687,301
LSPMJ0011+5908,00113182+5908400,tel08,3346,220
LSPMJ0011+2259,00115302+2259047,tel01,906,70
LSPMJ0012+5059,00125716+5059173,tel06,200,92
LSPMJ0013+6919,00131578+6919372,tel01,586,93
LSPMJ0013+8039W,00133880+8039569,tel02,102,93
LSPMJ0013+8039E,00134305+8039494,tel02,102,93
LSPMJ0015+4344,00151880+4344347,tel05,117,76
LSPMJ0015+1333,00154919+1333218,tel07,2236,113
LSPMJ0015+1333,00154919+1333218,tel08,2223,67
LSPMJ0015+5829,00155531+5829389,tel02,361,84
LSPMJ0016+1951W,00161455+1951385,tel07,6520,170
LSPMJ0016+1951E,00161607+1951515,tel07,6520,170
LSPMJ0016+2003,00165678+2003551,tel07,6515,170
LSPMJ0017+3028,00175789+3028102,tel01,205,93
LSPMJ0018+4401W,00182256+4401222,tel02,11146,182
LSPMJ0018+4401W,00182256+4401222,tel06,9902,90
LSPMJ0018+4401E,00182549+4401376,tel02,11144,182
LSPMJ0018+4401E,00182549+4401376,tel06,9902,90
LSPMJ0018+2748,00185352+2748499,tel07,215,71
LSPMJ0020+3305,00202922+3305081,tel01,1178,109
LSPMJ0020+3305,00202922+3305081,tel05,985,35
LSPMJ0021+1843,00211645+1843558,tel04,68,64
LSPMJ0024+2626,00240376+2626299,tel01,1365,92
LSPMJ0024+2626,00240376+2626299,tel07,1171,137
LSPMJ0024+3002,00243478+3002295,tel03,36,6
LSPMJ0024+3002,00243478+3002295,tel05,262,77
LSPMJ0025+5422,00251602+5422547,tel04,84,79
LSPMJ0025+2253,00252063+2253121,tel03,386,15
LSPMJ0025+2253,00252063+2253121,tel07,462,75
LSPMJ0026+3947,00260258+3947235,tel05,187,86
LSPMJ0026+3947,00260258+3947235,tel06,89,20
LSPMJ0026+4626,00261337+4626537,tel01,120,21
LSPMJ0026+4626,00261337+4626537,tel07,289,97
LSPMJ0026+1459,00263162+1459223,tel05,159,66
LSPMJ0026+1459,00263162+1459223,tel07,41,6
LSPMJ0027+4941,00270673+4941531,tel07,280,81
LSPMJ0027+2219,00275592+2219328,tel04,71,67
LSPMJ0028+5022,00285391+5022330,tel05,768,82
LSPMJ0030+2015,00300277+2015320,tel05,99,65
LSPMJ0030+7742,00304867+7742338,tel01,3217,265
LSPMJ0030+7742,00304867+7742338,tel05,2497,164
LSPMJ0030+7742,00304867+7742338,tel06,498,1
LSPMJ0031+0009,00312156+0009294,tel06,243,53
LSPMJ0031+7614,00313082+7614583,tel07,417,102
LSPMJ0031+7614,00313082+7614583,tel08,214,17
LSPMJ0032+5429,00321574+5429027,tel04,377,80
LSPMJ0033+1448,00332236+1448063,tel06,64,61
LSPMJ0034+7111E,00343773+7111418,tel04,429,86
LSPMJ0034+4050,00343787+4050022,tel05,81,76
LSPMJ0035+5953,00350487+5953079,tel04,271,83
LSPMJ0035+5241S,00355322+5241123,tel07,508,82
LSPMJ0035+5241N,00355358+5241368,tel07,508,82
LSPMJ0035+1028E,00355557+1028352,tel03,67,56
LSPMJ0038+6150,00382766+6150062,tel06,174,83
LSPMJ0039+5508,00391896+5508132,tel07,2811,191
LSPMJ0039+5508,00391896+5508132,tel08,3075,126
LSPMJ0039+1454S,00393349+1454188,tel03,452,58
LSPMJ0039+1454N,00393374+1454348,tel03,452,58
LSPMJ0040+3122,00405623+3122565,tel01,476,16
LSPMJ0040+3122,00405623+3122565,tel03,707,81
LSPMJ0041+1341,00415543+1341162,tel06,294,61
LSPMJ0042+3429,00422193+3429220,tel03,88,67
LSPMJ0043+2826,00433558+2826414,tel06,127,69
LSPMJ0043+7545,00433851+7545152,tel01,285,96
LSPMJ0043+7545,00433851+7545152,tel08,24,2
LSPMJ0043+4616,00434891+4616210,tel06,314,96
LSPMJ0043+4616,00434891+4616210,tel07,226,30
LSPMJ0044+5417,00441813+5417351,tel03,80,75
LSPMJ0044+0907,00442070+0907345,tel03,764,108
LSPMJ0044+6757,00443876+6757295,tel06,156,84
LSPMJ0045+5703,00452643+5703212,tel03,291,76
LSPMJ0045+3347,00455663+3347109,tel01,107,68
LSPMJ0046+3636,00463565+3636397,tel08,173,69
LSPMJ0046+4851,00464157+4851420,tel08,137,73
LSPMJ0048+6024,00482467+6024305,tel06,361,82
LSPMJ0048+7518,00482970+7518480,tel04,582,86
LSPMJ0048+3551,00485071+3551220,tel08,70,68
LSPMJ0049+6205,00490869+6205128,tel06,2371,210
LSPMJ0049+6205,00490869+6205128,tel08,3524,407
LSPMJ0050+2449N,00503319+2449009,tel02,625,72
LSPMJ0051+5839,00511344+5839530,tel05,503,82
LSPMJ0051+4531,00512409+4531308,tel08,103,69
LSPMJ0051+6715,00512872+6715553,tel06,258,85
LSPMJ0054+2731,00544803+2731035,tel03,32,2
LSPMJ0054+2731,00544803+2731035,tel08,1164,110
LSPMJ0054+1744,00545356+1744574,tel06,131,64
LSPMJ0055+1439,00550514+1439045,tel05,74,55
LSPMJ0055+4511,00551459+4511019,tel02,5739,241
LSPMJ0055+4511,00551459+4511019,tel08,6632,360
LSPMJ0055+3533,00554159+3533401,tel03,306,67
LSPMJ0056+1727,00563841+1727347,tel03,2336,104
LSPMJ0059+4102,00590734+4102232,tel06,146,76
LSPMJ0059+3752,00590821+3752399,tel04,120,74
LSPMJ0100+3404,01001387+3404055,tel04,97,70
LSPMJ0101+2915,01010685+2915330,tel03,232,74
LSPMJ0101+2915,01010685+2915330,tel04,71,10
LSPMJ0101+3832,01011867+3832302,tel02,146,74
LSPMJ0101+5410,01015952+5410577,tel01,2549,226
LSPMJ0101+5410,01015952+5410577,tel06,1678,148
LSPMJ0102+1009W,01020951+1009028,tel07,361,91
LSPMJ0102+4102,01022627+4102098,tel03,218,71
LSPMJ0102+4101,01022695+4101442,tel03,218,71
LSPMJ0102+6858,01023797+6858251,tel06,763,95
LSPMJ0102+6220,01023895+6220422,tel07,228,81
LSPMJ0102+5304,01025869+5304080,tel08,76,72
LSPMJ0103+1556,01031311+1556178,tel03,122,57
LSPMJ0103+3140,01031395+3140598,tel06,449,72
LSPMJ0103+7113,01031442+7113127,tel08,200,79
LSPMJ0103+6221,01031971+6221557,tel07,228,81
LSPMJ0104+3259,01040745+3259108,tel05,126,73
LSPMJ0105+2829,01053732+2829339,tel01,109,68
LSPMJ0106+3017,01063072+3017112,tel04,1045,101
LSPMJ0106+3017,01063072+3017112,tel06,4654,261
LSPMJ0106+8027,01065474+8027344,tel02,224,91
LSPMJ0107+2257E,01073851+2257218,tel04,298,64
LSPMJ0108+0027,01081230+0027563,tel04,1530,110
LSPMJ0108+0027,01081230+0027563,tel05,64,5
LSPMJ0109+2137,01093124+2137439,tel03,310,64
LSPMJ0111+1648,01112349+1648308,tel03,42,4
LSPMJ0111+1648,01112349+1648308,tel07,210,64
LSPMJ0111+1526,01112542+1526214,tel01,229,63
LSPMJ0111+4127,01113637+4127530,tel08,105,74
LSPMJ0111+0455,01115562+0455048,tel06,533,55
